Model,Customer,Standard,Application,Location,Month,FCST_Q'ty,FCST_ASP,FCST_AMT,PLAN_Q'ty,PLAN_ASP,PLAN_AMT
MTV301AQR,KEYSTONE,MTV,MTV,T,Feb-26,0,0,0,149.5,0.2322,34.713899999999995
MTV301AQR,KEYSTONE,MTV,MTV,T,Mar-26,149.5,0.2322,1,0,0,0
MTV301AQR,KEYSTONE,MTV,MTV,T,Apr-26,0,0,0,149.5,0.2322,34.713899999999995
MTV301AQR,KEYSTONE,MTV,MTV,T,Jun-26,149.5,0.2322,34.713899999999995,149.5,0.2322,34.713899999999995
MTV301AQR,KEYSTONE,MTV,MTV,T,Aug-26,149.5,0.2322,34.713899999999995,149.5,0.2322,34.713899999999995
MTV301AQR,KEYSTONE,MTV,MTV,T,Oct-26,0,0,0,299,0.2322,69.42779999999999
MTV301AQR,KEYSTONE,MTV,MTV,T,Feb-27,149.5,0.2322,34.713899999999995,149.5,0.2322,34.713899999999995
MTV301AQR,KEYSTONE,MTV,MTV,T,Apr-27,0,0,0,149.5,0.2322,34.713899999999995
MTV301AQR,KEYSTONE,MTV,MTV,T,Jun-27,149.5,0.2322,34.713899999999995,149.5,0.2322,34.713899999999995
MTV301AQR,KEYSTONE,MTV,MTV,T,Aug-27,149.5,0.2322,34.713899999999995,149.5,0.2322,34.713899999999995
MTV301AQR,KEYSTONE,MTV,MTV,T,Oct-27,0,0,0,299,0.2322,69.42779999999999
MTV301AQR,KEYSTONE,MTV,MTV,T,Jan-26,123,0.5,0,0,0,0
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Feb-26,0,0,0,0.001,1000,1
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Mar-26,0.001,1000,1,0,0,0
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Apr-26,0,0,0,0.001,1000,1
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Jun-26,0.001,1000,1,0.001,1000,1
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Aug-26,0.001,1000,1,0.001,1000,1
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Oct-26,0,0,0,0.002,1000,2
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Feb-27,0.001,1000,1,0.001,1000,1
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Apr-27,0,0,0,0.001,1000,1
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Jun-27,0.001,1000,1,0.001,1000,1
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Aug-27,0.001,1000,1,0.001,1000,1
MTV301 (Handling fee),KEYSTONE,MTV,MTV,T,Oct-27,0,0,0,0.002,1000,2
MTV301CQR,KAGA DEVICE (JVC),MTV,MTV,J,Jun-26,38,0.926,35.188,142,0.926,131.49200000000002
MTV301CQR,KAGA DEVICE (JVC),MTV,MTV,J,Dec-26,40,0.926,37.04,0,0,0
MTV301CQR,KAGA DEVICE (JVC),MTV,MTV,J,Jun-27,38,0.926,35.188,142,0.926,131.49200000000002
MTV301CQR,KAGA DEVICE (JVC),MTV,MTV,J,Dec-27,40,0.926,37.04,0,0,0
MTV818GQRCE,EKONG,MTV,MTV,C,Feb-26,0,0,0,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Mar-26,0,0,0,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Apr-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,May-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Jun-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Jul-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Aug-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Sep-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Oct-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Nov-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Dec-26,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Jan-27,80,0.987,78.96,0,0,0
MTV818GQRCE,EKONG,MTV,MTV,C,Feb-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Mar-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Apr-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,May-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Jun-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Jul-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Aug-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Sep-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Oct-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Nov-27,80,0.987,78.96,100,0.987,98.7
MTV818GQRCE,EKONG,MTV,MTV,C,Dec-27,80,0.987,78.96,100,0.987,98.7
MTV318D,KRM (TAMUL/PNP),MTV,MTV,K,May-26,0,0,0,175,1.016,177.8
MTV318D,KRM (TAMUL/PNP),MTV,MTV,K,Sep-26,0,0,0,175,1.016,177.8
